optvel, fluxJy
4711.611461,-0.000309
4716.927654,0.000809
4722.244032,0.001010
4727.560596,0.000926
4732.877346,0.004297
4738.194281,0.005956
4743.511402,0.002033
4748.828709,-0.001864
4754.146201,-0.001959
4759.463880,0.000098
4764.781743,0.002393
4770.099793,0.004421
4775.418028,0.003525
4780.736449,0.001783
4786.055056,0.001948
4791.373848,0.001520
4796.692827,-0.000002
4802.011991,-0.002757
4807.331340,-0.003600
4812.650876,0.001352
4817.970597,0.004302
4823.290505,0.000741
4828.610598,-0.001943
4833.930877,-0.000665
4839.251341,0.001531
4844.571992,0.000543
4849.892828,-0.000679
4855.213851,0.000838
4860.535059,0.000207
4865.856453,-0.001851
4871.178033,-0.001824
4876.499799,-0.000875
4881.821751,-0.001919
4887.143888,-0.001865
4892.466212,0.000838
4897.788722,0.000359
4903.111417,-0.000745
4908.434299,0.000572
4913.757367,0.002649
4919.080620,0.005709
4924.404060,0.008300
4929.727685,0.008420
4935.051497,0.007836
4940.375494,0.008919
4945.699678,0.007932
4951.024048,0.006349
4956.348603,0.006432
4961.673345,0.007619
4966.998273,0.009083
4972.323387,0.007693
4977.648687,0.005978
4982.974173,0.005077
4988.299846,0.004764
4993.625704,0.004012
4998.951749,0.001801
5004.277979,-0.000729
